transcript_id	miracidia	sporocyst_48h	cercariae	somule_3h	somule_24h	adult_m_21d	adult_f_21d	adult_m_28d	adult_f_28d	adult_m_38d	adult_f_38d
Smp_000020.1	30.70	35.35	46.56	72.05	81.36	57.54	52.50	43.10	46.28	12.94	40.73
Smp_000030.1	132.79	165.67	152.63	231.62	144.94	96.97	105.30	83.04	97.02	5.21	54.05
Smp_000030.2	180.16	220.14	67.48	92.42	157.45	127.41	114.90	97.31	93.06	57.20	95.85
Smp_000030.3	14.36	15.09	78.36	94.95	38.06	18.96	21.96	20.51	23.41	3.82	15.49
Smp_000040.1	39.37	31.93	46.24	111.82	142.51	107.34	106.88	110.21	119.73	44.47	126.38
Smp_000040.2	2.81	1.57	4.10	6.79	7.74	9.74	7.22	9.69	9.87	0.85	3.87
Smp_000050.1	0.28	0.10	0.00	0.00	1.87	0.00	0.48	0.35	0.38	0.66	0.00
Smp_000050.2	2.49	6.63	5.87	46.34	29.17	3.97	3.57	4.01	4.79	0.16	4.62
Smp_000070.1	139.08	200.40	74.29	78.96	106.85	120.79	101.37	116.31	107.36	96.14	99.66
Smp_000075.1	0.00	0.00	0.00	0.25	0.12	0.44	0.04	0.04	0.00	0.00	0.00
Smp_000080.1	0.00	0.05	1.56	11.83	8.99	1.44	1.76	1.24	2.07	1.72	24.08
Smp_000100.1	7.06	14.58	65.58	73.29	26.31	4.56	5.19	26.70	31.15	7.19	38.36
Smp_000100.2	0.41	0.04	2.08	0.40	0.44	8.38	7.32	4.29	3.39	0.10	2.21
Smp_000100.3	6.95	11.04	83.33	53.41	11.37	38.81	44.51	36.35	48.01	1.96	25.25
Smp_000100.4	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Smp_000100.5	0.83	1.18	3.12	7.03	4.93	17.49	18.75	7.75	8.56	0.30	7.11
Smp_000100.6	0.24	0.10	0.27	0.39	0.25	0.87	0.72	0.51	0.50	0.13	0.36
Smp_000110.1	3.97	4.45	8.31	13.18	14.72	6.21	5.82	5.66	4.63	3.27	3.46
Smp_000130.1	7.33	12.56	26.89	80.03	55.93	27.73	28.89	33.21	38.61	5.12	37.73
Smp_000150.1	45.99	25.70	82.09	145.29	51.83	48.31	48.09	40.18	43.03	19.62	37.23
Smp_000160.1	0.18	0.25	0.31	0.79	2.60	2.15	2.03	1.26	1.46	0.20	1.29
Smp_000180.1	0.23	0.10	0.10	0.19	0.65	10.40	22.44	13.37	22.38	0.56	25.04
Smp_000190.1	1.08	2.04	1.23	4.52	5.36	12.87	6.22	15.05	12.60	11.28	12.24
Smp_000200.1	3.97	3.07	11.26	25.75	12.52	14.36	15.78	17.00	18.45	5.97	14.71
Smp_000230.1	19.09	11.32	36.17	61.80	51.59	22.61	21.80	18.21	18.81	7.39	21.77
Smp_000240.1	1117.72	1412.48	383.26	462.12	812.41	701.08	562.96	505.24	486.96	335.22	436.40
Smp_000250.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Smp_000260.1	132.62	128.23	361.79	531.56	841.59	961.25	925.52	1210.00	1326.67	403.60	1366.09
Smp_000270.1	0.06	0.03	1.48	0.12	0.52	0.35	0.46	114.58	24.58	476.79	5.49
Smp_000280.1	0.06	0.00	0.23	0.43	0.00	0.53	0.81	716.33	165.76	3035.68	25.55
Smp_000300.1	0.02	0.02	0.90	0.67	1.28	2.41	1.71	1.58	2.32	0.00	1.28
Smp_000300.2	0.26	0.22	3.00	3.57	6.87	31.09	29.24	23.04	25.96	4.90	19.68
Smp_000310.1	57.16	42.65	56.91	68.02	53.90	33.79	28.58	23.42	22.83	8.23	18.41
Smp_000310.2	47.55	25.38	33.64	94.24	116.37	72.06	77.40	95.47	99.58	95.92	113.13
Smp_000310.3	1.43	1.15	13.66	21.50	11.24	12.59	11.60	7.12	10.34	4.42	8.65
Smp_000320.1	14.37	5.43	50.14	17.23	44.15	120.88	114.90	119.83	137.77	22.59	135.13
Smp_000340.1	10.11	6.96	2.02	3.81	1.98	1.45	1.44	2.93	1.92	2.23	1.27
Smp_000370.1	25.70	24.50	10.65	26.90	26.50	17.12	26.95	17.77	21.36	14.37	24.46
Smp_000390.1	0.02	0.00	0.10	0.00	0.14	0.02	0.00	12.75	2.26	49.65	0.35
Smp_000420.1	0.11	0.00	0.16	0.18	0.00	0.71	1.48	1141.40	247.51	3420.03	36.48
Smp_000430.1	0.00	0.00	0.19	0.21	0.00	0.95	1.79	2237.39	466.58	9021.66	72.04
Smp_000470.1	1.70	1.00	2.93	4.36	2.63	2.69	2.49	1.51	1.79	0.41	1.55
Smp_000470.2	7.53	5.94	4.36	9.94	7.46	18.42	17.28	13.90	15.13	8.90	16.32
Smp_000470.3	0.23	0.05	0.81	1.52	1.51	1.53	1.11	1.15	0.98	0.55	0.77
Smp_000480.1	3.02	4.12	3.04	14.28	13.81	7.85	7.31	8.01	7.43	3.81	5.98
Smp_000480.2	20.50	24.30	16.73	25.92	60.45	51.75	53.44	44.66	41.87	28.80	35.11
Smp_000500.1	0.03	0.00	0.75	0.48	0.00	0.31	0.05	0.55	0.04	3.96	0.05
Smp_000510.1	7.11	7.80	17.53	22.91	55.76	71.84	72.10	54.46	61.47	21.93	56.41
Smp_000560.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Smp_000580.1	0.41	0.15	1.64	0.48	2.71	7.72	7.07	6.15	6.68	1.90	6.69
Smp_000590.1	31.27	28.18	35.32	51.84	38.15	64.85	67.05	50.54	53.30	34.26	54.56
Smp_000600.1	109.84	86.22	78.50	115.65	128.28	64.53	54.63	55.66	46.27	42.31	39.21
Smp_000600.2	9.33	5.10	1.28	1.34	20.34	11.09	11.46	7.81	7.06	10.68	10.56
Smp_000620.1	0.25	0.07	2.52	23.77	19.08	1.57	1.78	0.38	0.53	0.17	1.24
Smp_000630.1	4.58	2.31	6.48	29.44	23.46	20.23	20.21	17.25	19.39	7.25	16.88
Smp_000640.1	92.82	83.80	101.28	124.88	78.55	83.67	81.72	79.32	83.75	62.64	84.70
Smp_000650.1	15.90	6.90	13.40	31.85	26.51	14.90	15.23	11.18	11.63	4.67	15.13
Smp_000650.2	0.71	0.28	3.05	18.18	10.99	2.47	2.29	1.33	1.39	0.33	1.35
Smp_000650.3	1.55	0.56	6.78	2.29	3.51	2.25	2.23	1.24	1.88	0.05	1.29
Smp_000660.1	9.86	10.92	102.91	75.34	52.19	107.47	148.74	159.25	191.57	91.05	173.09
Smp_000670.1	9.77	7.69	30.90	56.97	93.84	50.07	54.85	58.48	66.08	16.02	65.17
Smp_000680.1	8.85	12.25	43.67	85.44	175.60	91.82	77.51	66.91	70.62	41.04	66.32
Smp_000690.1	0.52	0.18	0.38	2.85	0.81	0.57	0.45	0.95	0.82	0.33	0.26
Smp_000700.1	3.52	3.82	14.15	34.94	34.73	43.16	49.93	46.62	55.84	14.54	57.13
Smp_000710.1	47.36	47.72	70.62	131.25	167.20	110.63	110.82	81.37	90.24	61.69	122.22
Smp_000720.1	106.01	66.95	93.22	174.13	187.54	84.48	70.80	64.80	58.91	26.41	56.66
Smp_000740.1	708.58	563.95	560.32	626.41	560.40	604.75	554.24	555.84	588.33	362.06	584.27
Smp_000755.1	1.59	3.51	92.01	259.56	240.59	121.87	102.49	113.87	126.14	39.13	135.44
Smp_000770.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Smp_000790.1	1.12	0.89	19.12	8.11	8.84	10.94	9.54	13.93	15.47	2.24	10.04
Smp_000790.2	2.57	1.56	23.01	30.00	31.73	15.69	16.11	15.86	14.92	5.26	12.37
Smp_000810.1	8.37	10.97	10.79	18.73	39.70	43.30	40.59	28.36	27.83	31.94	29.49
Smp_000820.1	10.06	7.02	357.32	744.94	746.21	470.28	749.92	778.71	1066.30	228.22	1150.65
Smp_000820.2	0.51	0.00	30.96	50.65	5.56	10.57	25.75	26.40	40.94	5.66	46.28
Smp_000830.1	0.07	0.02	0.40	4.23	7.04	1.36	1.77	0.61	0.76	0.06	0.62
Smp_000850.1	201.23	271.36	37.98	83.05	127.18	127.75	144.99	163.66	169.07	141.97	222.95
Smp_000870.1	0.73	0.71	2.15	2.68	0.18	0.85	0.89	1.31	1.21	0.10	0.62
Smp_000870.2	4.09	0.83	2.53	11.09	1.64	1.36	3.19	0.41	0.60	0.14	0.70
Smp_000870.3	7.38	4.19	18.85	37.34	18.48	9.49	13.23	9.28	10.24	2.94	19.37
Smp_000870.4	12.66	9.95	12.47	3.80	3.57	4.35	3.91	6.73	10.71	1.58	4.06
Smp_000880.1	1444.41	1680.02	929.33	385.28	262.82	1630.13	1567.49	1405.21	1443.71	1309.66	1157.75
Smp_000900.1	2.05	2.94	2.95	10.74	14.94	24.88	11.26	22.15	15.07	4.45	21.40
Smp_000910.1	0.33	0.11	3.97	0.90	1.45	9.19	8.85	6.80	8.36	1.37	6.02
Smp_000950.1	0.48	0.28	1.16	6.35	9.61	2.35	2.11	12.12	3.41	16.08	1.09
Smp_000980.1	337.45	307.51	360.83	428.26	301.82	389.12	335.78	210.84	213.44	151.01	247.70
Smp_000990.1	33.42	15.89	73.88	145.19	143.38	52.12	52.12	45.80	50.75	18.24	46.65
Smp_001000.1	2.88	1.20	10.20	172.89	230.88	105.12	156.42	97.08	127.98	20.21	111.19
Smp_001020.1	3.90	10.66	20.65	25.48	12.52	11.78	12.28	11.15	11.38	5.68	12.30
Smp_001030.1	2.44	2.84	8.66	5.97	7.68	10.44	10.58	7.84	9.28	2.82	9.47
Smp_001040.1	36.75	52.64	88.37	220.15	420.02	326.23	380.41	337.47	402.80	74.16	373.11
Smp_001070.1	0.27	0.05	3.14	4.22	6.26	1.43	2.04	1.53	1.81	0.09	1.96
Smp_001080.1	251.91	29.33	203.13	117.00	61.10	227.42	218.05	186.98	216.52	72.11	202.95
Smp_001090.1	6.34	8.88	14.07	26.25	35.15	21.75	19.18	15.41	14.35	6.92	11.29
Smp_001095.1	14.24	17.71	14.63	40.97	75.87	41.75	39.74	32.57	33.25	14.16	31.70
Smp_001095.2	0.41	0.54	0.83	0.52	1.12	0.44	0.26	0.14	0.21	0.01	0.13
Smp_001100.1	0.36	6.67	15.08	11.52	8.17	258.18	299.99	280.42	310.04	44.31	234.43
Smp_001120.1	8.15	7.48	23.98	44.16	80.28	86.22	98.49	55.50	63.48	46.41	73.05
Smp_001160.1	0.29	0.06	4.02	0.99	3.70	12.96	12.85	11.64	13.58	4.03	11.32
Smp_001170.1	70.31	162.41	83.46	58.71	4.14	20.41	7.01	26.57	25.05	4.59	6.40
Smp_001170.2	108.90	22.29	47.35	130.64	278.71	135.36	138.42	122.31	105.36	92.39	95.89
Smp_001180.1	13.86	20.16	44.91	71.43	125.01	33.89	29.29	24.91	25.93	7.11	21.17
Smp_001210.1	1.93	3.07	1.11	1.64	4.11	5.80	3.77	3.85	3.16	2.50	2.24
Smp_001210.2	0.27	0.35	0.23	0.41	1.02	0.71	0.67	0.44	0.19	0.20	0.29
Smp_001360.1	13.03	14.74	38.19	32.58	49.02	78.17	79.41	70.18	72.64	53.45	69.03
Smp_001390.1	2.33	3.48	12.95	33.42	50.35	30.44	29.91	22.28	24.62	4.73	21.33
Smp_001410.1	8.86	9.72	4.86	5.56	18.31	20.78	12.31	37.18	33.74	51.61	51.39
Smp_001420.1	18.36	26.22	48.65	68.86	106.09	49.04	57.65	53.04	59.72	14.52	61.16
Smp_001420.2	1.49	1.46	3.29	4.97	1.74	3.55	3.07	2.19	2.57	0.12	1.33
Smp_001500.1	621.94	698.42	174.63	185.41	186.05	296.68	277.70	246.45	235.90	236.15	235.46
Smp_001530.1	30.46	20.21	37.35	69.79	109.23	84.13	73.84	75.52	80.62	25.82	77.72
Smp_001560.1	0.32	0.59	1.94	1.08	1.88	8.65	8.35	7.61	8.36	1.73	8.09
Smp_001590.1	8.23	12.36	16.53	27.52	31.79	39.30	37.13	32.55	32.77	32.13	33.38
Smp_001610.1	4.40	3.03	19.14	7.86	17.49	54.01	47.85	34.68	42.71	17.03	41.74
Smp_001640.1	4.34	3.24	3.97	3.78	1.32	8.35	8.71	7.76	8.53	7.22	10.11
Smp_001780.1	0.00	0.00	0.00	0.57	6.30	4.68	4.72	3.09	3.12	1.58	2.55
Smp_001780.2	0.00	0.04	0.00	0.00	2.56	4.74	3.22	2.40	2.80	0.43	2.20
Smp_001780.3	0.30	0.05	1.36	1.81	12.88	39.08	39.48	32.08	38.38	7.06	25.58
Smp_001830.1	343.91	361.89	69.48	58.83	24.28	89.96	85.08	78.34	66.60	111.76	58.43
Smp_001830.2	18.24	21.84	7.01	4.11	3.58	3.80	4.14	3.27	2.99	4.08	2.61
Smp_001890.1	0.00	0.00	0.10	0.60	0.53	0.00	0.00	0.00	0.00	0.00	0.00
Smp_001900.1	0.10	0.05	0.40	3.38	5.57	3.81	2.00	1.40	0.85	0.68	0.39
Smp_001940.1	6.77	6.37	47.00	39.30	25.77	26.74	25.49	23.46	24.25	13.36	30.94
Smp_001940.2	0.04	0.00	0.00	0.00	0.00	0.04	0.02	0.00	0.02	0.00	0.00
Smp_001950.1	4.89	4.94	32.33	194.02	245.02	122.56	159.13	121.97	157.85	31.09	180.18
Smp_001960.1	16.49	17.75	46.24	74.30	62.84	49.71	45.57	39.77	41.16	22.92	36.19
Smp_001960.2	0.00	0.00	4.01	12.83	1.53	0.57	0.14	0.76	0.76	0.87	0.37
Smp_001980.1	0.29	0.04	4.69	5.36	7.78	4.54	5.57	1.30	1.99	0.21	1.77
Smp_002010.1	101.39	137.21	39.83	49.61	87.22	68.68	73.25	57.19	50.00	77.72	48.13
Smp_002060.1	0.00	0.00	0.17	2.24	0.12	0.49	0.21	1.00	1.27	1.01	1.79
Smp_002070.1	0.00	0.00	0.36	1.24	0.49	0.00	0.00	1.18	0.44	1.88	0.10
Smp_002080.1	980.44	639.53	167.43	193.33	370.84	284.31	244.43	240.54	202.74	254.45	172.52
Smp_002100.1	1.69	1.36	3.67	12.12	14.43	43.95	63.24	73.91	106.09	25.35	143.20
Smp_002160.1	39.12	20.56	29.54	81.57	55.13	37.91	33.13	28.63	27.39	15.06	27.65
Smp_002180.1	122.99	144.23	64.70	55.61	41.47	75.41	73.30	67.23	64.10	71.54	59.76
Smp_002230.1	54.65	40.45	53.07	60.11	58.12	32.42	32.66	27.74	19.34	20.27	19.98
Smp_002280.1	55.43	77.76	44.93	115.99	231.31	137.75	127.45	115.06	124.11	37.91	121.75
Smp_002380.1	8.08	7.65	8.93	10.23	20.12	13.33	16.29	15.41	17.54	9.83	24.09
Smp_002410.1	51.19	96.15	27.71	31.16	47.48	112.16	113.25	87.44	90.80	63.71	78.44
Smp_002510.1	155.73	205.41	660.85	110.56	156.89	187.22	161.14	150.38	143.20	88.97	113.35
Smp_002550.1	11.56	10.82	9.43	8.20	3.85	11.02	10.15	8.96	8.71	9.40	9.62
Smp_002600.1	12.22	11.87	33.68	49.37	49.66	308.86	132.23	432.66	337.56	492.49	421.17
Smp_002600.2	0.14	0.36	0.70	3.05	3.48	18.20	13.54	26.30	21.85	46.77	27.07
Smp_002630.1	208.64	16.91	0.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Smp_002640.1	0.59	0.87	36.70	3.79	2.69	5.94	6.97	5.58	8.00	0.38	5.56
Smp_002740.1	497.32	234.24	221.64	138.48	162.93	201.51	187.77	185.11	183.53	146.23	165.96
Smp_002820.1	249.21	224.89	339.98	371.04	231.17	111.51	82.39	95.34	84.90	38.60	74.05
Smp_002840.1	8.45	15.08	25.51	45.91	50.03	38.04	31.93	27.43	27.59	17.73	28.36
Smp_002840.2	8.45	15.08	25.51	45.91	50.03	38.04	31.93	27.43	27.59	17.73	28.36
Smp_002840.3	0.00	0.00	0.48	0.19	0.29	0.17	0.00	0.00	0.00	0.00	0.00
Smp_002860.1	0.00	0.06	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.00	0.00
Smp_002870.1	92.37	90.49	43.14	101.24	82.91	70.64	65.84	72.11	65.77	49.84	72.24
Smp_002880.1	608.56	1243.30	209.75	276.60	302.39	1132.51	1047.44	953.15	954.74	582.22	762.91
Smp_002920.1	10.49	17.44	158.14	218.66	162.46	26.53	34.83	33.47	44.37	10.77	66.52
Smp_002950.1	1.76	3.24	7.51	8.03	3.79	29.53	25.08	17.79	16.54	14.11	14.16
Smp_003000.1	4.39	4.45	9.44	19.15	22.13	17.48	18.00	14.80	14.02	13.43	20.13
Smp_003130.1	14.28	10.52	26.40	60.75	46.45	63.11	64.99	59.07	61.69	35.34	67.85
Smp_003140.1	1.56	2.33	10.28	21.69	10.82	8.76	7.19	8.30	9.20	1.36	4.83
Smp_003140.2	19.67	36.44	39.93	91.56	133.52	91.61	89.74	98.85	105.84	40.52	114.06
Smp_003190.1	0.60	0.28	5.68	0.57	1.02	13.57	10.57	10.39	10.10	5.85	12.34
Smp_003230.1	0.03	0.52	3.77	2.65	2.62	81.55	110.86	76.09	96.28	10.77	89.28
Smp_003230.2	0.19	0.73	0.38	0.80	1.92	32.22	45.29	34.20	47.08	1.74	30.37
Smp_003250.1	13.09	14.58	12.82	7.38	3.76	11.56	9.78	9.47	9.04	7.16	8.93
Smp_003250.2	1.92	0.87	0.21	0.23	0.19	0.19	0.13	0.29	0.13	0.05	0.10
Smp_003270.1	14.63	3.83	145.38	313.80	135.13	32.49	37.53	21.12	19.33	11.80	28.84
Smp_003280.1	6.28	7.39	0.14	0.33	2.37	0.96	0.66	0.65	0.38	0.77	0.30
Smp_003300.1	0.00	0.00	0.17	0.26	0.14	0.00	0.04	0.03	0.00	0.00	0.00
Smp_003330.1	1.76	0.46	1.90	1.06	1.97	11.13	10.79	9.77	10.45	7.11	8.95
Smp_003340.1	16.49	24.26	34.96	85.53	132.08	76.40	65.86	68.68	61.90	43.96	56.87
Smp_003410.1	4768.86	5727.27	1079.34	1030.35	2221.30	1673.95	1514.47	1584.27	1345.25	2282.27	1205.54
Smp_003410.2	2.49	4.40	12.93	9.65	7.32	4.98	4.23	4.96	5.26	1.69	3.51
Smp_003440.1	2.50	3.00	1.33	2.26	15.16	100.64	132.89	79.07	107.88	10.13	114.42
Smp_003600.1	20.70	10.30	0.02	0.44	0.45	0.99	0.93	0.51	0.66	0.07	1.00
Smp_003610.1	81.41	27.12	0.50	4.86	6.06	46.44	58.11	50.76	64.80	23.24	74.55
Smp_003620.1	10.68	33.71	16.91	40.02	113.55	84.73	85.05	73.03	86.68	29.98	86.74
Smp_003620.2	0.80	0.60	1.15	1.82	3.57	5.25	3.31	4.92	4.62	0.45	1.55
Smp_003630.1	114.20	92.12	65.51	99.23	106.62	87.75	79.29	64.93	60.80	45.91	59.20
Smp_003660.1	356.29	518.16	173.09	164.87	146.27	230.94	194.73	163.77	152.44	122.22	133.24
Smp_003660.2	98.27	123.73	183.86	171.19	134.03	81.41	69.76	48.63	52.57	27.27	51.79
Smp_003670.1	2.98	3.21	7.45	10.86	10.25	16.25	14.92	12.78	14.00	5.34	14.15
Smp_003700.1	94.79	68.83	69.63	61.85	81.48	140.71	129.65	112.45	112.64	103.98	107.19
Smp_003710.1	44.96	53.18	345.25	254.95	146.61	148.05	140.91	130.73	144.80	54.15	143.41
Smp_003760.1	0.66	0.72	3.67	5.46	0.59	0.67	0.42	0.48	0.58	0.24	0.44
Smp_003760.2	1.94	0.22	3.17	7.23	0.75	0.57	0.44	0.39	0.35	0.08	0.42
Smp_003770.1	544.41	176.32	2860.38	496.25	276.84	525.46	373.88	285.55	272.75	191.14	266.82
Smp_003860.1	23.57	16.28	12.62	21.34	27.81	49.82	50.18	36.99	40.18	28.05	46.02
Smp_003900.1	0.02	0.00	1.26	9.29	10.81	6.93	9.47	2.81	3.70	1.22	6.46
Smp_003930.1	3.78	3.30	6.95	2.89	5.16	16.07	14.67	10.34	11.27	4.08	14.23
Smp_003940.1	6.87	5.35	10.13	34.55	44.17	35.33	27.88	25.75	26.45	19.25	27.66
Smp_003940.2	0.31	0.24	5.09	5.09	4.32	2.43	2.19	1.42	1.54	0.51	1.32
Smp_003940.3	3.05	2.76	15.28	10.61	7.44	5.87	5.40	5.05	5.04	1.13	4.49
Smp_003970.1	780.58	1096.50	106.04	145.91	242.25	242.26	220.06	234.19	174.92	331.01	150.68
Smp_003980.1	37.04	12.62	49.03	47.55	24.00	26.57	25.81	24.32	26.97	11.61	28.28
Smp_003990.1	24.59	8.67	297.23	99.66	77.89	107.13	135.66	118.50	145.21	47.71	146.26
Smp_004000.1	3.23	6.20	5.49	6.93	5.54	5.52	4.84	4.77	4.81	4.59	3.13
Smp_004000.2	0.57	0.69	3.84	5.37	0.56	2.31	1.97	1.78	1.61	1.53	1.68
Smp_004060.1	95.35	92.15	11.43	8.67	7.37	30.84	18.97	15.32	9.83	16.22	4.44
Smp_004070.1	0.47	0.14	2.38	1.01	0.58	0.57	0.29	1.20	1.40	0.02	0.21
Smp_004070.2	12.37	3.68	12.08	6.89	5.24	5.32	5.50	3.51	4.02	0.83	7.31
Smp_004070.3	0.01	0.00	0.00	0.00	0.00	0.16	0.12	0.09	0.19	0.03	0.34
Smp_004080.1	23.92	59.78	9.92	18.43	36.33	62.08	55.65	45.68	43.66	32.81	35.98
Smp_004160.1	1.73	2.12	3.68	1.84	1.98	21.43	15.88	16.32	16.95	6.57	16.76
Smp_004170.1	4.00	3.45	21.30	15.38	13.30	14.27	12.78	11.71	11.87	6.59	9.85
Smp_004190.1	14.44	11.31	125.26	119.41	121.11	131.25	120.27	116.82	124.87	51.48	115.37
Smp_004200.1	1.95	1.85	6.16	14.74	21.50	12.68	13.50	14.52	13.64	12.39	15.97
Smp_004220.1	92.17	82.08	65.70	53.87	74.93	53.29	51.47	59.34	55.54	39.52	50.75
Smp_004260.1	2.47	3.91	3.14	3.24	3.97	5.64	4.89	3.76	3.90	2.42	4.13
Smp_004310.1	1133.54	634.83	866.19	1570.20	1815.13	1146.90	1079.64	1121.95	1155.67	949.82	1208.20
Smp_004350.1	9.58	15.05	48.59	153.25	150.57	276.82	310.78	256.87	304.16	130.59	311.29
Smp_004360.1	66.83	98.64	56.62	43.37	38.54	68.62	67.44	50.28	55.27	48.53	61.53
Smp_004420.1	0.00	0.00	0.00	0.80	3.34	11.56	6.34	9.58	7.87	13.72	8.92
Smp_004420.2	0.00	0.00	0.71	1.66	1.89	42.89	14.35	48.66	22.81	92.72	23.10
Smp_004420.3	0.00	0.00	0.16	0.00	0.57	3.91	0.47	2.76	2.70	8.59	1.32
Smp_004420.4	0.00	0.00	0.04	0.43	0.26	5.04	1.03	5.80	2.46	1.45	1.09
Smp_004440.1	0.17	0.01	4.94	2.57	11.36	16.56	15.95	12.92	17.46	2.45	17.06
Smp_004470.1	168.51	164.62	212.62	118.47	120.62	368.28	331.11	309.08	331.49	219.00	309.77
Smp_004480.1	119.34	137.53	134.23	137.92	227.40	164.06	126.76	124.37	113.13	54.17	114.57
Smp_004480.2	4.02	2.69	20.92	37.87	45.07	18.21	15.86	16.81	18.09	16.24	19.17
Smp_004550.1	8.01	14.07	14.10	6.74	5.92	12.56	9.94	9.45	9.87	7.21	9.43
Smp_004590.1	10.35	18.17	14.94	35.52	41.33	24.44	24.98	23.10	21.97	7.26	19.28
Smp_004600.1	1000.96	1497.84	234.31	350.72	668.19	637.23	551.43	476.86	420.84	375.38	395.19
Smp_004630.1	2.22	2.53	14.90	13.37	13.77	9.18	7.54	9.22	8.31	7.52	6.38
Smp_004630.2	0.00	0.00	0.59	0.00	2.12	0.81	1.17	0.52	0.46	0.14	0.28
Smp_004640.1	26.95	60.44	14.57	21.34	62.85	40.88	36.57	37.58	30.16	31.38	26.20
Smp_004640.2	0.58	1.21	2.44	0.58	3.60	6.87	4.24	5.91	5.90	1.42	2.84
Smp_004680.1	510.57	298.11	1500.66	1648.78	1082.01	322.22	276.01	220.02	244.88	96.39	249.27
Smp_004690.1	0.03	0.00	3.73	12.60	28.57	10.41	16.47	15.08	19.41	3.72	22.94
Smp_004690.2	0.50	0.26	10.58	22.38	35.80	34.63	47.60	42.39	53.97	18.61	74.97
Smp_004710.1	0.11	0.06	1.15	0.86	1.77	2.64	2.50	3.20	3.77	1.12	3.94
Smp_004730.1	0.59	0.19	3.44	13.98	10.19	2.84	2.53	2.11	2.06	0.36	1.46
Smp_004780.1	1713.48	1512.85	151.88	338.52	1391.96	1555.07	1438.32	1209.08	1234.64	1015.52	1242.04
Smp_004810.1	269.45	250.57	364.72	537.65	515.50	360.65	360.76	302.86	330.41	138.89	346.54
Smp_004820.1	32.77	29.35	140.38	109.02	78.77	264.47	302.94	300.29	294.63	382.79	310.70
Smp_004910.1	4.36	4.33	5.05	14.33	17.79	11.08	12.16	9.92	11.13	4.11	12.38
Smp_004940.1	1091.17	1235.39	191.51	135.90	10.78	233.00	212.43	210.82	169.49	359.81	140.03
Smp_004980.1	3.19	2.71	7.07	6.33	6.37	11.08	9.37	8.63	8.87	3.80	6.85
Smp_004990.1	1251.80	1826.92	167.18	351.44	978.68	626.96	581.06	509.05	433.36	484.76	379.24
Smp_005000.1	20.33	20.28	26.89	31.63	30.85	25.37	22.71	23.32	24.73	14.87	25.54
Smp_005010.1	8.22	7.61	9.35	9.99	11.78	13.25	11.55	10.43	9.60	10.42	10.03
Smp_005020.1	10.68	19.79	9.73	14.04	21.69	29.40	24.75	23.88	27.09	11.92	32.98
Smp_005070.1	3.47	3.69	22.78	24.89	23.53	44.48	47.52	54.25	65.88	20.38	79.61
Smp_005070.2	0.00	0.15	0.50	3.34	6.89	18.30	21.59	20.52	21.86	8.40	26.89
Smp_005080.1	32.39	45.75	15.43	29.29	13.46	9.15	8.45	6.29	5.39	7.54	4.74
Smp_005080.2	224.88	250.46	131.15	145.44	160.66	87.24	78.16	70.68	57.29	73.06	51.80
Smp_005140.1	0.34	0.19	8.40	9.50	3.93	2.19	2.59	0.92	1.24	0.84	2.16
Smp_005160.1	12.51	7.34	6.74	54.85	20.25	35.72	21.02	38.51	36.36	11.95	21.71
Smp_005160.2	4.50	5.37	5.94	29.48	27.05	7.74	7.81	4.51	5.21	1.49	7.39
Smp_005160.3	85.11	96.09	19.95	127.21	81.13	83.09	96.91	85.79	93.52	28.25	114.99
Smp_005160.4	0.00	0.00	0.00	1.21	1.99	0.00	0.00	0.00	0.00	0.00	0.00
Smp_005160.5	58.83	51.86	30.74	95.05	64.58	45.71	31.41	30.14	24.82	5.92	21.84
Smp_005160.6	1.14	0.85	1.31	12.14	13.56	17.92	18.58	17.52	16.96	5.52	10.52
Smp_005180.1	350.17	458.47	127.15	168.78	249.77	241.86	223.52	212.43	194.80	198.11	172.76
Smp_005190.1	0.22	0.19	1.56	5.43	15.10	14.92	14.97	14.74	11.80	3.43	11.07
Smp_005190.2	15.88	17.10	44.31	46.41	47.46	34.74	41.73	60.28	71.83	17.79	65.67
Smp_005190.3	3.79	1.72	15.91	43.76	67.85	55.69	44.04	23.03	26.64	6.56	22.72
Smp_005210.1	95.69	104.71	73.95	107.38	122.46	108.00	92.49	71.90	69.62	43.93	68.15
Smp_005230.1	275.40	344.95	567.42	404.57	653.62	459.34	433.63	348.03	398.23	130.96	386.97
Smp_005260.1	577.99	1163.65	332.96	487.80	305.73	471.82	397.21	337.35	334.94	277.84	317.26
Smp_005260.2	24.07	25.45	48.13	59.54	38.17	32.06	24.53	21.78	23.23	13.01	21.68
Smp_005280.1	25.06	21.36	18.66	29.55	50.76	30.67	23.78	31.00	25.29	25.13	17.96
Smp_005290.1	51.24	75.52	211.83	81.37	39.56	122.96	117.03	104.24	103.53	73.94	85.50
Smp_005320.1	2.90	1.78	19.32	9.88	4.19	13.55	13.31	12.56	14.45	8.67	13.40
