transcript_id	miracidia	sporocyst_48h	cercariae	somule_3h	somule_24h	adult_m_21d	adult_f_21d	adult_m_28d	adult_f_28d	adult_m_38d	adult_f_38d
Smp_197010.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Smp_197070.1	0.00	0.00	0.00	0.47	0.43	0.52	0.19	0.70	0.70	0.66	0.71
Smp_197070.2	0.38	0.45	2.84	2.65	3.61	4.98	1.49	2.51	1.56	5.93	9.19
Smp_197150.1	0.24	0.15	11.58	22.05	26.51	1.61	1.99	0.54	0.60	0.11	0.36
Smp_197170.1	0.14	0.09	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Smp_197180.1	25.26	31.39	18.67	22.84	27.95	35.30	31.27	23.82	22.04	18.09	21.64
Smp_197200.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Smp_197230.1	2.13	3.90	7.38	3.14	5.84	4.64	3.96	3.02	3.31	0.78	2.68
Smp_197230.2	0.81	0.11	10.79	9.65	9.82	23.14	17.12	15.32	16.04	6.04	17.27
Smp_197370.1	1.23	0.13	28.21	23.85	4.89	540.89	536.99	641.23	710.55	87.26	738.98
Smp_197390.1	1.24	1.21	7.56	1.27	2.22	0.71	0.42	0.65	0.49	0.10	0.27
Smp_197390.2	70.80	54.93	124.78	120.91	150.44	65.50	58.93	45.88	46.30	10.34	41.13
Smp_197390.3	46.80	48.85	16.74	7.66	9.36	11.03	6.72	7.51	9.76	1.94	6.86
Smp_197480.1	0.47	0.56	0.48	4.78	6.32	32.88	28.97	31.16	30.33	29.03	32.78
Smp_197480.2	9.46	14.29	21.88	41.01	56.96	50.50	51.00	37.78	41.16	15.76	39.14
Smp_197480.3	0.52	1.23	1.50	1.74	1.57	0.55	0.52	0.67	0.56	0.11	0.28
Smp_197540.1	12.00	7.94	35.64	66.31	57.04	27.93	37.52	39.65	54.71	13.23	85.47
Smp_197640.1	0.00	0.00	2.19	4.93	35.71	3.39	3.41	2.96	3.29	0.10	1.00
Smp_197640.2	5.40	2.42	1.61	1.44	0.00	15.42	13.27	10.98	12.30	1.39	10.28
Smp_197640.3	0.70	0.46	1.76	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Smp_197690.1	14.88	1.73	12.68	13.35	23.00	21.28	16.91	14.39	15.92	2.43	13.13
Smp_197700.1	0.02	0.01	0.28	0.12	0.22	0.63	1.03	0.50	0.68	0.08	1.04
Smp_197730.1	3.61	2.53	0.76	1.09	4.70	1.70	1.03	1.83	1.77	3.71	3.16
Smp_197730.2	1.50	1.31	2.03	8.40	4.18	1.49	1.70	2.09	2.03	1.08	1.90
Smp_197730.3	36.35	34.13	24.02	86.19	60.12	30.19	40.10	47.98	39.49	50.77	41.77
Smp_197860.1	0.46	0.03	9.19	57.34	150.14	207.78	446.51	438.55	728.08	25.53	734.51
Smp_197880.1	0.64	1.18	3.08	3.23	4.76	4.81	4.90	3.85	3.59	1.83	3.06
Smp_197950.1	0.06	0.01	0.15	0.33	0.78	0.65	0.84	0.67	0.71	0.23	0.69
Smp_198020.1	1.40	0.92	2.19	1.73	5.19	0.81	1.10	0.53	0.28	0.41	0.25
Smp_198020.2	0.00	0.01	0.00	0.00	0.00	0.01	0.01	0.00	0.00	0.00	0.00
Smp_198090.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Smp_198100.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Smp_198170.1	0.00	0.00	0.00	0.00	0.00	0.00	0.15	0.25	0.24	0.33	0.14
Smp_198190.1	10.24	5.28	28.60	24.30	9.20	41.52	44.97	31.86	30.48	24.40	33.58
Smp_198190.2	11.03	13.30	45.72	71.47	93.34	72.07	61.97	66.76	62.48	50.87	66.95
Smp_198290.1	24.83	21.39	105.00	170.26	102.28	188.57	181.62	121.22	130.65	69.69	119.63
Smp_198330.1	4.64	2.99	14.32	23.67	58.87	19.58	19.37	14.68	15.92	5.56	14.58
Smp_198360.1	6.81	1.69	9.19	44.26	35.71	6.25	7.82	6.31	7.88	1.53	9.18
Smp_198380.1	37.77	28.97	82.58	149.07	170.63	85.45	73.79	64.16	65.37	15.03	57.58
Smp_198420.1	497.94	463.07	157.66	217.43	251.55	210.96	197.30	191.57	186.57	179.49	178.53
Smp_198520.1	14.85	12.54	27.83	16.89	13.46	9.10	7.57	5.68	5.34	4.91	7.01
Smp_198530.1	61.22	66.75	42.22	66.42	67.62	67.32	60.01	62.22	59.87	33.62	56.07
Smp_198560.1	0.20	0.00	0.75	9.82	32.60	36.34	41.03	39.73	51.67	10.60	52.49
Smp_198590.1	0.11	0.09	1.16	0.95	1.79	0.62	1.14	0.64	0.78	0.28	1.02
Smp_198590.2	5.00	0.11	0.64	0.03	0.07	0.48	0.32	0.33	0.42	0.12	0.36
Smp_198660.1	1.34	2.13	13.32	34.60	32.70	12.09	13.41	12.63	15.28	0.79	7.00
Smp_198670.1	4.21	5.29	17.36	10.50	15.64	12.91	17.32	10.40	13.62	2.87	13.29
Smp_198680.1	25.36	15.70	22.94	28.06	46.56	57.48	64.06	47.85	59.18	7.77	43.02
Smp_198680.2	0.12	0.11	1.54	2.79	3.26	0.86	1.72	1.51	2.55	0.27	1.45
Smp_198730.1	0.63	0.17	1.43	1.00	1.07	1.51	1.06	0.89	1.12	0.31	0.91
Smp_198750.1	57.44	67.29	80.74	69.94	90.06	53.28	44.57	37.69	36.05	22.94	36.99
Smp_198790.1	8.98	10.62	20.64	44.02	37.48	35.00	36.93	31.59	32.07	26.02	28.93
Smp_198800.1	7.49	6.32	33.82	24.29	52.67	34.68	36.69	35.33	43.41	7.86	44.93
Smp_198800.2	0.00	0.00	0.00	0.00	1.63	0.19	0.47	0.22	0.19	0.00	0.00
Smp_198850.1	2.90	2.41	16.36	22.87	18.66	15.28	12.71	10.77	10.08	2.98	7.85
Smp_198850.2	29.90	16.68	59.23	65.67	92.92	63.66	72.86	57.91	68.50	27.92	91.67
Smp_198890.1	0.41	0.86	3.51	2.57	5.81	1.20	0.83	0.80	0.81	0.31	0.61
Smp_198920.1	3.31	2.73	4.58	6.02	8.44	11.97	14.57	12.76	13.96	7.03	14.34
Smp_198930.1	0.04	0.00	2.95	2.53	33.87	40.91	71.37	60.25	87.54	5.89	90.42
Smp_198940.1	0.87	1.04	2.51	7.63	5.35	3.36	3.48	2.82	3.39	0.66	1.97
Smp_198940.2	3.55	3.70	2.43	28.46	23.81	4.25	2.59	4.15	5.70	1.43	4.01
Smp_198940.3	0.72	0.53	1.61	5.43	2.95	1.47	1.80	0.79	0.84	0.19	0.84
Smp_198940.4	0.00	0.00	0.75	0.00	4.73	0.48	0.61	0.00	0.00	0.20	0.00
Smp_198940.5	6.36	4.52	21.11	23.15	9.38	24.29	22.12	23.34	23.86	9.30	20.20
Smp_198960.1	5.76	1.92	0.20	24.61	0.00	0.00	0.25	0.00	0.20	6.44	0.00
Smp_198980.1	16.18	4.81	90.47	207.98	205.44	56.47	39.91	50.47	49.89	10.73	37.82
Smp_199020.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Smp_199040.1	3.58	1.84	17.91	26.76	48.32	28.54	29.67	20.17	22.15	11.01	25.12
Smp_199040.2	0.46	0.22	2.17	3.06	2.63	2.27	1.98	1.34	1.55	0.33	1.60
Smp_199050.1	9.32	4.42	20.35	28.18	19.52	70.00	57.06	34.86	39.34	9.44	32.78
Smp_199100.1	1.62	2.71	5.96	7.80	21.64	12.61	11.64	11.17	9.07	5.52	7.87
Smp_199100.2	0.11	0.25	1.06	0.65	0.51	0.42	0.41	0.20	0.11	0.08	0.16
Smp_199340.1	0.71	1.30	1.40	2.02	1.85	2.27	1.83	1.65	1.36	0.70	1.25
Smp_199340.2	20.92	32.22	83.44	39.37	22.95	24.70	23.25	18.44	17.79	6.64	18.38
Smp_199800.1	1.08	0.91	1.77	2.26	3.32	5.75	5.13	4.08	2.75	3.02	3.26
Smp_199980.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Smp_200020.1	0.68	1.22	3.59	137.05	147.47	15.27	15.50	11.16	13.13	2.40	10.20
Smp_200060.1	4.02	12.51	7.83	8.70	5.76	15.98	7.70	10.11	10.43	1.19	7.09
Smp_200090.1	5.37	0.41	0.00	0.00	0.00	0.00	0.00	8.43	0.00	0.00	0.00
Smp_200100.1	0.01	0.01	0.11	11.11	4.45	2.50	2.55	2.31	1.89	2.10	2.93
Smp_200110.1	0.07	0.03	1.39	6.12	19.94	17.58	4.13	21.69	8.89	16.97	3.98
Smp_200130.1	1.59	1.84	22.57	37.06	67.76	9.29	5.72	3.55	6.87	0.83	2.99
Smp_200150.1	1.56	0.60	4.38	1.73	43.71	1.94	1.32	5.99	5.12	11.97	1.24
Smp_200160.1	0.00	1.19	4.23	36.41	0.00	1.81	0.00	0.00	0.00	0.00	0.00
Smp_200180.1	234.46	247.94	8.28	49.77	76.43	806.53	858.59	700.88	743.48	304.67	716.16
Smp_200190.1	2.00	2.38	9.33	31.21	37.51	66.31	81.24	68.29	82.63	34.40	80.44
Smp_200210.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Smp_200230.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Smp_200240.1	49.98	20.49	28.96	178.51	151.51	271.57	449.62	502.09	656.41	176.86	701.46
Smp_200300.1	0.97	1.27	4.85	10.19	60.93	58.58	56.26	60.00	61.65	31.91	61.90
Smp_200300.2	0.27	0.15	1.71	1.68	4.59	6.67	3.75	4.94	4.31	0.62	2.13
Smp_200310.1	0.00	0.00	0.00	3.46	0.00	0.32	0.00	6.34	0.37	8.18	0.41
Smp_200380.1	34.91	39.92	24.64	30.41	31.75	23.80	20.46	17.15	16.48	14.28	16.03
Smp_200410.1	5.97	8.15	0.98	0.68	1.42	5.88	3.89	4.57	2.93	6.75	2.30
Smp_200440.1	2.10	0.46	4.62	19.93	11.04	30.98	15.20	30.74	17.89	12.78	13.99
Smp_200450.1	0.01	0.02	0.16	3.11	1.76	0.45	0.31	0.74	0.65	0.62	0.58
Smp_200460.1	7.60	0.31	3.06	0.42	0.00	1.27	0.97	0.80	1.32	1.03	0.99
Smp_200520.1	0.08	0.31	0.47	1.74	42.06	11.51	5.90	4.11	2.61	1.97	1.37
Smp_200530.1	0.05	0.01	0.82	0.72	0.29	0.92	2.33	2.15	3.85	0.21	4.53
Smp_200540.1	0.21	0.10	0.00	8.90	0.00	0.91	0.61	0.00	0.26	0.21	0.58
Smp_200570.1	0.30	0.08	3.16	1.99	1.30	5.59	4.86	4.00	4.36	1.19	3.61
Smp_200600.1	0.54	1.22	0.30	8.13	2.56	0.09	0.41	0.86	0.54	0.05	0.18
Smp_200610.1	12.67	19.02	6.14	8.10	33.69	167.56	142.20	115.95	124.59	103.69	129.90
Smp_200620.1	3.18	6.34	3.31	18.00	0.00	0.49	0.22	1.23	0.36	0.74	0.00
Smp_200650.1	0.00	0.15	0.00	0.00	0.00	3.14	1.84	0.49	0.51	0.00	0.00
Smp_200670.1	0.00	0.20	1.66	12.55	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Smp_200710.1	4.93	0.00	7.48	0.00	0.00	3.74	0.00	0.00	0.00	0.00	5.07
Smp_200770.1	1.04	3.73	3.83	31.71	0.00	0.50	3.42	0.00	0.00	0.00	0.00
Smp_200790.1	0.00	0.00	0.00	34.20	0.00	4.18	6.35	13.19	12.68	0.83	11.95
Smp_200800.1	0.08	0.07	0.98	0.93	0.19	4.93	6.50	5.70	7.69	1.28	7.91
Smp_200820.1	0.00	0.00	1.03	1.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Smp_200840.1	37.57	8.21	1597.73	1097.55	404.83	4.97	1.48	1.21	2.08	0.34	0.47
Smp_200850.1	0.17	0.00	68.35	217.70	128.36	0.00	0.45	0.18	0.19	0.00	0.00
Smp_200900.1	200.40	46.84	16.87	24.87	3.62	0.00	0.00	0.00	0.02	2.16	5.78
Smp_200960.1	0.33	0.15	0.47	0.99	0.39	0.86	1.22	0.39	0.49	0.31	0.32
Smp_200970.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Smp_200980.1	0.05	0.05	0.14	1.32	16.06	1.69	1.49	1.22	1.15	0.26	0.83
Smp_201000.1	0.00	0.00	0.00	12.93	0.00	0.61	0.00	0.00	0.00	0.54	0.00
Smp_201030.1	6.99	23.03	62.34	111.94	470.79	1885.62	2424.53	1893.38	2338.84	1300.90	2428.50
Smp_201060.1	84.10	388.93	140.04	575.69	762.16	6192.71	9247.91	5898.03	7956.65	2145.81	7704.34
Smp_201070.1	0.03	0.01	0.94	16.35	2.42	0.29	0.16	0.12	0.12	0.04	0.08
